_id,Year,Province,Grade,Male,Female
144,2011.0,KPK,8,157,256
145,2011.0,KPK,9,14244,2504
146,2011.0,KPK,10,293,94
147,2011.0,KPK,11,1476,213
148,2011.0,KPK,12,25150,15791
149,2011.0,KPK,13,87,1
150,2011.0,KPK,14,14603,1705
151,2011.0,KPK,15,21382,7097
152,2011.0,KPK,16,12480,5316
153,2011.0,KPK,17,7998,2118
154,2011.0,KPK,18,2312,335
155,2011.0,KPK,19,1087,108
156,2011.0,KPK,20,307,59
157,2011.0,KPK,21,72,4
158,2011.0,KPK,22,2,0
159,2011.0,Balochistan,1,5872,270
160,2011.0,Balochistan,2,1879,10
161,2011.0,Balochistan,3,303,0
162,2011.0,Balochistan,4,908,0
163,2011.0,Balochistan,5,1564,365
164,2011.0,Balochistan,6,1816,2
165,2011.0,Balochistan,7,1650,9
166,2011.0,Balochistan,8,489,266
167,2011.0,Balochistan,9,1067,5
168,2011.0,Balochistan,10,5,0
169,2011.0,Balochistan,11,704,275
170,2011.0,Balochistan,12,414,12
171,2011.0,Balochistan,13,24,0
172,2011.0,Balochistan,14,762,6
173,2011.0,Balochistan,15,141,1
174,2011.0,Balochistan,16,558,71
175,2011.0,Balochistan,17,1363,79
176,2011.0,Balochistan,18,211,15
177,2011.0,Balochistan,19,81,2
178,2011.0,Balochistan,20,29,0
179,2011.0,Balochistan,21,3,0
180,2011.0,Gilgit-Baltistan,1,199,1
181,2011.0,Gilgit-Baltistan,2,479,0
182,2011.0,Gilgit-Baltistan,3,23,0
183,2011.0,Gilgit-Baltistan,4,51,0
184,2011.0,Gilgit-Baltistan,5,4445,132
185,2011.0,Gilgit-Baltistan,6,120,3
186,2011.0,Gilgit-Baltistan,7,768,14
187,2011.0,Gilgit-Baltistan,8,2,0
188,2011.0,Gilgit-Baltistan,9,297,19
189,2011.0,Gilgit-Baltistan,10,3,0
190,2011.0,Gilgit-Baltistan,11,39,0
191,2011.0,Gilgit-Baltistan,12,54,0
192,2011.0,Gilgit-Baltistan,14,244,4
193,2011.0,Gilgit-Baltistan,15,30,0
194,2011.0,Gilgit-Baltistan,16,125,1
195,2011.0,Gilgit-Baltistan,17,165,4
196,2011.0,Gilgit-Baltistan,18,49,1
197,2011.0,Gilgit-Baltistan,19,17,0
198,2011.0,Gilgit-Baltistan,20,4,0
199,2011.0,Gilgit-Baltistan,21,1,0
200,2012.0,Punjab,1,8990,511
201,2012.0,Punjab,2,5505,469
202,2012.0,Punjab,3,1741,148
203,2012.0,Punjab,4,1902,803
204,2012.0,Punjab,5,3327,56
205,2012.0,Punjab,6,2349,50
206,2012.0,Punjab,7,3017,116
207,2012.0,Punjab,8,858,15
208,2012.0,Punjab,9,2857,595
209,2012.0,Punjab,10,187,5
210,2012.0,Punjab,11,2374,68
211,2012.0,Punjab,12,955,115
212,2012.0,Punjab,13,188,4
213,2012.0,Punjab,14,1379,90
214,2012.0,Punjab,15,613,15
215,2012.0,Punjab,16,1355,2474
216,2012.0,Punjab,17,4405,1322
217,2012.0,Punjab,18,2096,485
218,2012.0,Punjab,19,1053,223
219,2012.0,Punjab,20,290,48
220,2012.0,Punjab,21,214,2
221,2012.0,Punjab,22,4,0
222,2012.0,Sindh,1,117,1
223,2012.0,Sindh,2,589,77
224,2012.0,Sindh,3,3,0
225,2012.0,Sindh,4,3,0
226,2012.0,Sindh,5,72,0
227,2012.0,Sindh,6,8,0
228,2012.0,Sindh,7,34,0
229,2012.0,Sindh,8,5,0
230,2012.0,Sindh,9,3,0
231,2012.0,Sindh,10,3,0
232,2012.0,Sindh,11,13,0
233,2012.0,Sindh,12,1,0
234,2012.0,Sindh,14,11,0
235,2012.0,Sindh,15,1,0
236,2012.0,Sindh,16,4,0
237,2012.0,Sindh,17,1,0
238,2012.0,KPK,1,26622,1122
239,2012.0,KPK,2,40091,2269
240,2012.0,KPK,3,4870,813
241,2012.0,KPK,4,1959,81
242,2012.0,KPK,5,50438,826
243,2012.0,KPK,6,1525,80
244,2012.0,KPK,7,16590,1063
245,2012.0,KPK,8,176,264
246,2012.0,KPK,9,14696,2662
247,2012.0,KPK,10,312,94
248,2012.0,KPK,11,1603,216
249,2012.0,KPK,12,26993,16332
250,2012.0,KPK,13,87,1
251,2012.0,KPK,14,14689,1711
252,2012.0,KPK,15,21873,7325
253,2012.0,KPK,16,12957,5560
254,2012.0,KPK,17,8211,2153
255,2012.0,KPK,18,2318,337
256,2012.0,KPK,19,1087,108
257,2012.0,KPK,20,307,59
258,2012.0,KPK,21,73,4
259,2012.0,KPK,22,2,0
260,2012.0,Balochistan,1,6505,295
261,2012.0,Balochistan,2,1975,6
262,2012.0,Balochistan,3,306,0
263,2012.0,Balochistan,4,1003,0
264,2012.0,Balochistan,5,1753,364
265,2012.0,Balochistan,6,1863,6
266,2012.0,Balochistan,7,1721,14
267,2012.0,Balochistan,8,595,308
268,2012.0,Balochistan,9,1107,6
269,2012.0,Balochistan,10,7,0
270,2012.0,Balochistan,11,928,278
271,2012.0,Balochistan,12,528,15
272,2012.0,Balochistan,13,24,0
273,2012.0,Balochistan,14,906,60
274,2012.0,Balochistan,15,215,4
275,2012.0,Balochistan,16,531,71
276,2012.0,Balochistan,17,1411,82
277,2012.0,Balochistan,18,282,15
278,2012.0,Balochistan,19,84,3
279,2012.0,Balochistan,20,28,0
280,2012.0,Balochistan,21,5,0
281,2012.0,Gilgit-Baltistan,1,262,1
282,2012.0,Gilgit-Baltistan,2,390,0
283,2012.0,Gilgit-Baltistan,3,23,0
284,2012.0,Gilgit-Baltistan,4,57,0
285,2012.0,Gilgit-Baltistan,5,4427,132
286,2012.0,Gilgit-Baltistan,6,97,3
287,2012.0,Gilgit-Baltistan,7,804,14
288,2012.0,Gilgit-Baltistan,8,24,0
289,2012.0,Gilgit-Baltistan,9,283,19
290,2012.0,Gilgit-Baltistan,10,15,0
291,2012.0,Gilgit-Baltistan,11,35,0
292,2012.0,Gilgit-Baltistan,12,46,0
293,2012.0,Gilgit-Baltistan,13,5,0
294,2012.0,Gilgit-Baltistan,14,241,6
295,2012.0,Gilgit-Baltistan,15,33,0
296,2012.0,Gilgit-Baltistan,16,130,1
297,2012.0,Gilgit-Baltistan,17,171,1
298,2012.0,Gilgit-Baltistan,18,52,1
299,2012.0,Gilgit-Baltistan,19,17,0
300,2012.0,Gilgit-Baltistan,20,4,0
301,2012.0,Gilgit-Baltistan,21,1,0
302,2013.0,Punjab,1,9091,431
303,2013.0,Punjab,2,5377,429
304,2013.0,Punjab,3,1751,175
305,2013.0,Punjab,4,1840,788
306,2013.0,Punjab,5,2980,55
307,2013.0,Punjab,6,2066,45
308,2013.0,Punjab,7,3119,114
309,2013.0,Punjab,8,915,14
310,2013.0,Punjab,9,3242,605
311,2013.0,Punjab,10,197,6
312,2013.0,Punjab,11,2394,57
313,2013.0,Punjab,12,865,121
314,2013.0,Punjab,13,182,2
315,2013.0,Punjab,14,1378,54
316,2013.0,Punjab,15,530,13
317,2013.0,Punjab,16,1467,2302
318,2013.0,Punjab,17,4275,1369
319,2013.0,Punjab,18,2086,508
320,2013.0,Punjab,19,1069,213
321,2013.0,Punjab,20,299,56
322,2013.0,Punjab,21,205,4
323,2013.0,Punjab,22,5,0
324,2013.0,Sindh,1,131,1
325,2013.0,Sindh,2,587,77
326,2013.0,Sindh,3,2,0
327,2013.0,Sindh,4,5,0
328,2013.0,Sindh,5,65,0
329,2013.0,Sindh,6,8,0
330,2013.0,Sindh,7,52,0
331,2013.0,Sindh,8,5,0
332,2013.0,Sindh,9,4,0
333,2013.0,Sindh,10,3,0
334,2013.0,Sindh,11,15,0
335,2013.0,Sindh,12,1,0
